"logtype","title","query","startYear","endYear","citedBy","authorID","cluster","url","Timestamp"
"action","","photography feedback ","","","","","","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=photography+feedback+&btnG=","2023-11-19T13:06:40.858Z"
"action","","realitylens","","","","","","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=realitylens&btnG=","2023-11-19T13:08:02.168Z"
"paper","Realitylens: A user interface for blending customized physical world view into virtual reality","","","","","","","","2023-11-19T13:08:03.379Z"
"action","","realitylens","","","","","","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=realitylens&btnG=","2023-11-19T13:08:30.005Z"
"paper","Realitylens: A user interface for blending customized physical world view into virtual reality","","","","","","","","2023-11-19T13:08:31.547Z"
"action","","","","","78239321754370786","","","https://scholar.google.com/scholar?cites=78239321754370786&as_sdt=2005&sciodt=0,5&hl=en","2023-11-19T13:08:32.370Z"
"action","","realitylens","","","","","","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=realitylens&btnG=","2023-11-19T13:08:35.401Z"
"action","","realitycheck","","","","","","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=realitycheck&btnG=","2023-11-19T13:08:40.505Z"
"paper","Realitycheck: Blending virtual environments with situated physical reality","","","","","","","","2023-11-19T13:08:43.064Z"
"action","","realitycheck","","","","","","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=realitycheck&btnG=","2023-11-19T13:08:45.382Z"
"paper","Realitycheck: Blending virtual environments with situated physical reality","","","","","","","","2023-11-19T13:08:47.292Z"
"action","","","","","12159965450302363340","","","https://scholar.google.com/scholar?cites=12159965450302363340&as_sdt=2005&sciodt=0,5&hl=en","2023-11-19T13:08:48.092Z"
"action","","","2022","","12159965450302363340","","","https://scholar.google.com/scholar?as_ylo=2022&hl=en&as_sdt=2005&sciodt=0,5&cites=12159965450302363340&scipsc=","2023-11-19T13:08:52.594Z"
"paper","InteractionAdapt: Interaction-driven Workspace Adaptation for Situated Virtual Reality Environments","","","","","","","","2023-11-19T13:08:55.001Z"
"action","","","2022","","12159965450302363340","","","https://scholar.google.com/scholar?as_ylo=2022&hl=en&as_sdt=2005&sciodt=0,5&cites=12159965450302363340&scipsc=","2023-11-19T13:09:19.365Z"
