"logtype","title","query","startYear","endYear","citedBy","authorID","cluster","url","Timestamp"
"action","","early intervention","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention&oq=","2023-11-19T05:46:27.589Z"
"action","","early intervention","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention&oq=","2023-11-19T05:46:34.996Z"
"action","","early intervention","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention&oq=","2023-11-19T05:46:40.998Z"
"paper","Is early intervention effective?","","","","","","","","2023-11-19T05:46:42.970Z"
"action","","","","","6864630954541468524","","","https://scholar.google.co.kr/scholar?cites=6864630954541468524&as_sdt=2005&sciodt=0,5&hl=ko","2023-11-19T05:46:43.763Z"
"paper","Bringing order out of chaos: Psychometric characteristics of the confusion, hubbub, and order scale","","","","","","","","2023-11-19T05:46:49.431Z"
"action","","","","","6864630954541468524","","","https://scholar.google.co.kr/scholar?cites=6864630954541468524&as_sdt=2005&sciodt=0,5&hl=ko","2023-11-19T05:46:53.141Z"
"action","","early intervention","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention&oq=","2023-11-19T05:47:22.799Z"
"action","","early intervention","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention&oq=","2023-11-19T05:48:31.272Z"
"action","","early intervention","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention&oq=","2023-11-19T05:48:37.720Z"
"action","","early intervention","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention&oq=","2023-11-19T05:48:42.071Z"
"paper","Revisiting"" Rethinking early intervention""","","","","","","","","2023-11-19T05:48:43.575Z"
"action","","early intervention","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention&oq=","2023-11-19T05:48:45.631Z"
"paper","Early intervention: A global perspective","","","","","","","","2023-11-19T05:49:04.547Z"
"action","","early intervention","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention&oq=","2023-11-19T05:49:16.354Z"
"action","","early intervention","","","","","","https://scholar.google.co.kr/scholar?start=30&q=early+intervention&hl=ko&as_sdt=0,5","2023-11-19T05:49:31.618Z"
"action","","early intervention language learning","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention+language+learning&btnG=&oq=early+intervention","2023-11-19T05:49:34.763Z"
"paper","Early learning and school readiness: Can early intervention make a difference?","","","","","","","","2023-11-19T05:49:38.898Z"
"action","","early intervention language learning","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention+language+learning&btnG=&oq=early+intervention","2023-11-19T05:50:13.807Z"
"action","","early intervention language learning","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention+language+learning&btnG=&oq=early+intervention","2023-11-19T05:50:43.216Z"
"action","","early intervention language learning","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention+language+learning&btnG=&oq=early+intervention","2023-11-19T05:53:14.389Z"
"paper","Early learning and school readiness: Can early intervention make a difference?","","","","","","","","2023-11-19T05:53:17.412Z"
"action","","early intervention language learning","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention+language+learning&btnG=&oq=early+intervention","2023-11-19T05:54:30.908Z"
"paper","Effect of foster care on language learning at eight years: findings from the Bucharest Early Intervention Project","","","","","","","","2023-11-19T05:54:34.119Z"
"action","","early intervention language learning","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=early+intervention+language+learning&btnG=&oq=early+intervention","2023-11-19T05:54:45.771Z"
"paper","Effect of foster care on language learning at eight years: findings from the Bucharest Early Intervention Project","","","","","","","","2023-11-19T05:54:49.132Z"
"action","","","","","17079930752446188308","","","https://scholar.google.co.kr/scholar?cites=17079930752446188308&as_sdt=2005&sciodt=0,5&hl=ko","2023-11-19T05:54:49.933Z"
"paper","Language exposure relates to structural neural connectivity in childhood","","","","","","","","2023-11-19T05:54:54.026Z"
"action","","","","","9724932194597403639","","","https://scholar.google.co.kr/scholar?cites=9724932194597403639&as_sdt=2005&sciodt=0,5&hl=ko","2023-11-19T05:54:54.826Z"
"paper","The value of dimensional models of early experience: Thinking clearly about concepts and categories","","","","","","","","2023-11-19T05:54:56.942Z"
"action","","speech recognition","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=speech+recognition&btnG=","2023-11-19T05:55:23.330Z"
"action","","speech recognition","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=speech+recognition&btnG=","2023-11-19T05:55:26.004Z"
"action","","speech recognition","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=speech+recognition&btnG=","2023-11-19T05:55:30.324Z"
"paper","A review on speech recognition technique","","","","","","","","2023-11-19T05:55:39.710Z"
"action","","","","","5321848940423579623","","","https://scholar.google.co.kr/scholar?cites=5321848940423579623&as_sdt=2005&sciodt=0,5&hl=ko","2023-11-19T05:55:40.491Z"
"action","","speech recognition","","","","","","https://scholar.google.co.kr/scholar?hl=ko&as_sdt=0%2C5&q=speech+recognition&btnG=","2023-11-19T05:55:41.157Z"
